"identifiant";"Opérateur";"Millésime des données";"Énergie concernée";"Code géographique du territoire - Code de la zone";"Code géographique du territoire - Libellé de la zone";"Puissance totale installée sur le réseau (en MW)";"Puissance installée sur le réseau de la filière gaz naturel (en MWh)";"Puissance installée sur le réseau de la filière charbon (en MWh)";"Puissance installée sur le réseau de la filière fioul domestique (en MWh)";"Puissance installée sur le réseau de la filière fioul lourd (en MWh)";"Puissance installée sur le réseau de la filière gpl (en MWh)";"Puissance installée sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Puissance installée sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Puissance installée sur le réseau de la filière biogaz (en MWh)";"Puissance installée sur le réseau de la filière geothermie (en MWh)";"Puissance installée sur le réseau de la filière Pompes à chaleur (en MWh)";"Puissance installée sur le réseau de la filière solaire thermique (en MWh)";"Puissance installée sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Puissance installée sur le réseau de la filière autre chaleur recuperee (en MWh)";"Puissance installée sur le réseau de la filière chaudieres electriques (en MWh)";"Puissance installée sur le réseau de la filière autres (en MWh)";"Production totale thermique du réseau (en MW)";"Production thermique sur le réseau de la filière gaz naturel (en MWh)";"Production thermique sur le réseau de la filière charbon (en MWh)";"Production thermique sur le réseau de la filière fioul domestique (en MWh)";"Production thermique sur le réseau de la filière fioul lourd (en MWh)";"Production thermique sur le réseau de la filière gpl (en MWh)";"Production thermique sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Production thermique sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Production thermique sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Production thermique sur le réseau de la filière biogaz (en MWh)";"Production thermique sur le réseau de la filière geothermie (en MWh)";"Production thermique sur le réseau de la filière Pompes à chaleur (en MWh)";"Production thermique sur le réseau de la filière solaire thermique (en MWh)";"Production thermique sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Production thermique sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Production thermique sur le réseau de la filière autre chaleur recuperee (en MWh)";"Production thermique sur le réseau de la filière chaudieres electriques (en MWh)";"Production thermique sur le réseau de la filière autres (en MWh)";"Niveau de rejet de CO2 des réseaux (en kg/kWh)";"Pourcentage de chaleur produite par cogénération (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gaz naturel (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière charbon (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul domestique (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul lourd (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gpl (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière bois-énergie et résidus agricoles (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière déchets urbains incinérés en interne (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière biogaz (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière autres (en pourcent)";"Nombre de points de livraison";"Consommation totale (en MWh)";"Consommation dans le secteur résidentiel (en MWh)";"Consommation dans le secteur tertiaire (en MWh)";"Consommation dans le secteur industriel (en MWh)";"Consommation dans le secteur agricole (en MWh)";"Consommation non affectée dans l'un des quatres secteur (en MWh)"
"1602C";"Commune de Baignes-Sainte-Radegonde";"2018";"C";"16025";"Baignes-Sainte-Radegonde";0.5;;;;;;0.5;;;;;;;;;;;;808.056;;;;;;808.056;;;;;;;;;;;;;;;;;;;;;;;12;440;;440;;;
"1603C";"Réseau de Brossac";"2018";"C";"16066";"Brossac";0.1;;;;;;0.1;;;;;;;;;;;;180.6;;;;;;180.6;;;;;;;;;;;;;;;;;;;;;;;15;160;;;;;160
"1604C";"Réseau de Champagne-Mouton";"2018";"C";"16076";"Champagne-Mouton";0.54;;;;;;0.54;;;;;;;;;;;;564.16;;;;;;564.16;;;;;;;;;;;;;;;;;;;;;;;6;560;;560;;;
"1605C";"Réseau ""Champ de manœuvre""";"2018";"C";"16374";"Soyaux";6;6;;;;;;;;;;;;;;;;;12781.84262;12781.84262;;;;;;;;;;;;;;;;;0.164897764;65.09;65.9;;;;;;;;;55;15112;14704;408;;;
"1606C";"Chaufferie bois";"2018";"C";"16225";"Montemboeuf";0.5;;;;;;0.5;;;;;;;;;;;;794;;;;;;794;;;;;;;;;;;;;;;;;;;;;;;7;794;;794;;;
"1607C";"Chauffage Urbain Public";"2018";"C";"16089";"Châteaubernard";1.16;0.62;;;;;0.54;;;;;;;;;;;;649.4292;72.0252;;;;;577.404;;;;;;;;;;;;0.022425753;;;;;;;;;;;8;732;;732;;;
"1608C";"Réseau de chaleur de Basseau";"2018";"C";"16015";"Angoulême";2.6;1.8;;;;;0.8;;;;;;;;;;;;2376.07372;790.0048145;;;;;1586.068906;;;;;;;;;;;;0.072567106;;;;;;;;;;;9;"secret";"secret";178;;;
"1609C";"Réseau de chaleur de Segonzac";"2018";"C";"16366";"Segonzac";23;;;;;;23;;;;;;;;;;;;2558.5;;;;;;2558.5;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;
"1610C";"Réseau des Vauzelles";"2018";"C";"16089";"Châteaubernard";5.6;4;;;;;1.6;;;;;;;;;;;;6274.2;550.3;;;;;5723.9;;;;;;;;;;;;0.02266391;;;;;;;;;;;10;"secret";"secret";3703;;;
"1701C";"Villeneuve les Salines";"2018";"C";"17300";"La Rochelle";18.8;2.1;;9;;;7.7;;;;;;;;;;;;32814.92;9971.72;;63.6;;;22779.6;;;;;;;;;;;;0.057900433;22.576;74.292;;;;;;;;;41;28379;14757;13622;;;
"1702C";"Réseau de Jonzac";"2018";"C";"17197";"Jonzac";20.2;;;2;9;;9.2;;;;;;;;;;;;32325.19;;;34.71;154.86;;32135.62;;;;;;;;;;;;0.003101138;;;;;;;;;;;370;19162;2874;16288;;;
"1703C";"Réseau de Aytre";"2018";"C";"17028";"Aytré";1.25;0.65;;;;;0.6;;;;;;;;;;;;2165.5613;273.5613;;;;;1892;;;;;;;;;;;;0.035164326;;;;;;;;;;;7;"secret";"secret";;;;
"1704C";"Pont Neuf Mireuil Energie";"2018";"C";"17300";"La Rochelle";26;7.7;;;;;;;15;;;;;3.3;;;;;40220.22;2561.22;;;;;;;37526;;;;;133;;;;;0.017137834;;;;;;;;;;;97;34041;30981;3060;;;
"1705C";"Réseau de Chaleur urbain de Pons";"2018";"C";"17283";"Pons";3;0.5;;;;;2.5;;;;;;;;;;;;5726.35;1274.13;;;;;4452.22;;;;;;;;;;;;0.066214579;;;;;;;;;;;18;4383;3068;1315;;;
"1706C";"Réseau de chaleur";"2018";"C";"17448";"Tonnay-Boutonne";7.7;;;;;;7.7;;;;;;;;;;;;1401.757;;;;;;1401.757;;;;;;;;;;;;;;;;;;;;;;;4;652;;652;;;
"1707C";"Réseau de la chaufferie bois";"2018";"C";"17172";"Gémozac";2;;;1;;;1;;;;;;;;;;;;1199.26;25.11;;32.93;;;1141.22;;;;;;;;;;;;0.016837621;;;;;;;;;;;8;"secret";"secret";;;;821
"1801C";"Chancellerie Gibjoncs - Zup de Bourges";"2018";"C";"18033";"Bourges";47.5;26;;;;;21.5;;;;;;;;;;;;87527;7191;;;;;80336;;;;;;;;;;;;0.023623973;;;;;;;;;;;89;76646;42922;33724;;;
"1901C";"Unité de Valorisation Energétique";"2018";"C";"19229";"Saint-Pantaléon-de-Larche";20;;;;;;;20;;;;;;;;;;;126558;;;;;;;126558;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;33284;;
"1902C";"Egletons Bois Energie";"2018";"C";"19073";"Égletons";19.2;3;;9;;;3.2;;4;;;;;;;;;;23212.775;1201.23;;1173.02;;;5554.525;;15284;;;;;;;;;;0.036482758;;;;;;;;;;;26;"secret";"secret";11215;5866;;
"1903C";"Réseau de Sornac";"2018";"C";"19261";"Sornac";1.3;;;0.5;;;0.8;;;;;;;;;;;;3521.9782;;;1758.9782;;;1763;;;;;;;;;;;;0.192922126;;;;;;;;;;;6;"secret";"secret";;;;83
"1904C";"Réseau de Servières le Château";"2018";"C";"19258";"Servières-le-Château";0.29;;;;;;0.29;;;;;;;;;;;;1984.02;;;;;;1984.02;;;;;;;;;;;;;;;;;;;;;;;3;790;;;;;790
"1906C";"BORG WARNER";"2018";"C";"19081";"Eyrein";1.9;0.95;;;;0.95;;;;;;;;;;;;;1500.93;1411.83;;;;89.1;;;;;;;;;;;;;0.263670368;;;;;;;;;;;2;1306;;;1306;;
"1907C";"Réseau de Brive";"2018";"C";"19031";"Brive-la-Gaillarde";1.5;1.5;;;;;;;;;;;;;;;;;1354;1354;;;;;;;;;;;;;;;;;0.308777448;;;;;;;;;;;43;1011;758;253;;;
"2001C";"Réseau de Corte";"2018";"C";"2B096";"Corte";;;;;;;;;;;;;;;;;;;13520.92;;;;;;13520.92;;;;;;;;;;;;;;;;;;;;;;;32;"secret";"secret";4796;;;
"2102C";"Réseau du Grand Dijon Ouest";"2018";"C";"21231";"Dijon";102;68.5;;12;;;21.5;;;;;;;;;;;;143557;65342;;658;;;77557;;;;;;;;;;;;0.097333697;42.99;94.449;;;;;;;;;237;126546;101237;25309;;;
"2105C";"Les Gresilles";"2018";"C";"21231";"Dijon";12.9;10.7;;;;;2.2;;;;;;;;;;;;16327;7759;;;;;8568;;;;;;;;;;;;0.084615669;41.569;87.473;;;;;;;;;44;15661;13782;1879;;;
"2106C";"Dijon énergies";"2018";"C";"21231";"Dijon";155;114;;;;;31;;10;;;;;;;;;;228664;65340;;;;;99829;;63495;;;;;;;;;;0.060051572;18.406;64.412;;;;;;;;;247;199382;63802;135580;;;
"2107C";"Mairie";"2018";"C";"21060";"Belleneuve";1.5;;;;;;1.5;;;;;;;;;;;;218;;;;;;218;;;;;;;;;;;;;;;;;;;;;;;5;"secret";"secret";198;;;
"2108C";"Réseau de la commune de Nuits Saint Georges";"2018";"C";"21464";"Nuits-Saint-Georges";1.33;0.87;;;;;0.46;;;;;;;;;;;;926.3107;19.0107;;;;;907.3;;;;;;;;;;;;0.004356353;;;;;;;;;;;6;994;;994;;;
"2109C";"Réseau de Chemin d'Aisey";"2018";"C";"21165";"Chemin-d'Aisey";0.06;;;;;;0.06;;;;;;;;;;;;58.824;;;;;;58.824;;;;;;;;;;;;;;;;;;;;;;;3;"secret";"secret";;;;
"2202C";"RESEAU DE CHALEUR CHAUFFERIE 1";"2018";"C";"22207";"Plouaret";0.5;;;;;;0.5;;;;;;;;;;;;2574.84;;;;;;2574.84;;;;;;;;;;;;;;;;;;;;;;;6;"secret";"secret";;;;
"2203C";"RESEAU DE CHALEUR CHAUFFERIE 2";"2018";"C";"22207";"Plouaret";0.75;;;;;;0.75;;;;;;;;;;;;2846.5312;;;;;;2846.5312;;;;;;;;;;;;;;;;;;;;;;;14;"secret";"secret";541;;;
"2204C";"SMITRED OUEST d'ARMOR";"2018";"C";"22245";"Pluzunet";9;;;;;;;9;;;;;;;;;;;15347;;;;;;;15347;;;;;;;;;;;;96.247;;;;;;;96.247;;;4;14771;;109;;14662;
"2205C";"Réseau de chaleur de Collinée";"2018";"C";"22046";"Le Mené";0.75;;;;;;0.75;;;;;;;;;;;;1200;;;;;;1200;;;;;;;;;;;;;;;;;;;;;;;18;1100;1012;88;;;
"2206C";"Réseau de chaleur de Pessala";"2018";"C";"22046";"Le Mené";0.35;;;;;;0.35;;;;;;;;;;;;688;;;;;;688;;;;;;;;;;;;;;;;;;;;;;;4;"secret";"secret";128;;;
"2207C";"Réseau de chaleur du Gouray";"2018";"C";"22046";"Le Mené";0.32;;;;;;0.32;;;;;;;;;;;;473;;;;;;473;;;;;;;;;;;;;;;;;;;;;;;38;400;280;120;;;
"2208C";"Réseau de chaleur de Brézillet";"2018";"C";"22215";"Ploufragan";4.5;3;;;;;1.5;;;;;;;;;;;;5446.69;4606.47;;;;;840.22;;;;;;;;;;;;0.201198754;;;;;;;;;;;6;5215;;5215;;;
"2301C";"Réseau de Bourganeuf";"2018";"C";"23030";"Bourganeuf";6.7;;;3.5;;;3.2;;;;;;;;;;;;7346.3;;;1972.9;;;5373.4;;;;;;;;;;;;0.115743423;;;;;;;;;;;11;"secret";"secret";4457;;;
"2302C";"Réseau de Felletin";"2018";"C";"23079";"Felletin";9.99;3.5;;;;;3.5;;;;;;;;;2.99;;;11832.1;556;;;;;11202;;;;;;;;;74.1;;;0.015935845;;;;;;;;;;;21;"secret";"secret";6222;;;
"2304C";"Réseau de Gentioux";"2018";"C";"23090";"Gentioux-Pigerolles";1.07;;;;;;1.07;;;;;;;;;;;;1627.278677;;;;;;1627.278677;;;;;;;;;;;;;;;;;;;;;;;21;874;;;;;874
"2305C";"Réseau de Guéret";"2018";"C";"23096";"Guéret";21.957;11.2;;;;;6.7;;;;;;;;;4.057;;;27626.8;6881.9;;;;;20631.7;;;;;;;;;113.2;;;0.061714471;;;;;;;;;;;41;25043;9516;15527;;;
"2401C";"Réseau de chaleur de Saint-Astier";"2018";"C";"22278";"Saint-Brieuc";5;3.5;;;;;1.5;;;;;;;;;;;;3828.96;2629.26;;;;;1199.7;;;;;;;;;;;;0.166588873;;;;;;;;;;;6;"secret";"secret";2984;;;
"2402C";"L'Arche au Bois";"2018";"C";"24322";"Périgueux";5.5;1.4;;;;;3.5;;;0.6;;;;;;;;;5431.2452;681.858;;;;;4457.1392;;;292.248;;;;;;;;;0.043130269;;;;;;;;;;;32;3601;1631;1970;;;
"2403C";"chaufferie bois de Cadouin";"2018";"C";"24068";"Le Buisson-de-Cadouin";2;;;1;;;1;;;;;;;;;;;;1678.22;;;87.22;;;1591;;;;;;;;;;;;0.044847458;;;;;;;;;;;5;"secret";"secret";584;;;
"2404C";"Chaufferie bois Douville";"2018";"C";"24155";"Douville";1.1;;;;;;1.1;;;;;;;;;;;;290.68;;;;;;290.68;;;;;;;;;;;;;;;;;;;;;;;6;"secret";"secret";253;;;
"2406C";"Réseau de Coulounieix chamiers";"2018";"C";"24138";"Coulounieix-Chamiers";4;2.74;;;;;1.26;;;;;;;;;;;;6264.75;2422.37;;;;;3842.38;;;;;;;;;;;;0.09846964;;;;;;;;;;;11;"secret";"secret";1330;;;
"2501C";"Besançon - Planoise";"2018";"C";"25056";"Besançon";104.29;26.9;;;25.39;;22;;13;;;;;;;17;;;165593.85;31303;;;3758;;60063;;57648.85;;;;;;;12821;;;0.077428845;;;;;;;;;;;99;138372;81640;53965;2767;;
"2502C";"Zup de la Petite Hollande";"2018";"C";"25388";"Montbéliard";45;29.75;;0.25;;;;;10;;;;;;;5;;;58851.37;13260;;118.37;;;;;33238;;;;;;;12235;;;0.105362982;;;;;;;;;;;57;54431;38102;16329;;;
"2503C";"Champvalon";"2018";"C";"25057";"Bethoncourt";4.6;4.6;;;;;;;;;;;;;;;;;12198.07;12198.07;;;;;;;;;;;;;;;;;0.255325209;62.502;62.52;;;;;;;;;35;10032;8026;2006;;;
"2504C";"Chaufferie Bois du Russey";"2018";"C";"25512";"Le Russey";2.3;;;1.5;;;0.8;;;;;;;;;;;;2446;;;304;;;2142;;;;;;;;;;;;0.043903602;;;;;;;;;;;21;1888;623;1265;;;
"2505C";"Champs Montants";"2018";"C";"25031";"Audincourt";7.6;7.54;;0.06;;;;;;;;;;;;;;;7543.12;7519.98;;23.14;;;;;;;;;;;;;;;0.213611329;59.339;59.521;;;;;;;;;19;7123;6411;712;;;
"2506C";"Domaine Universitaire de la Bouloie";"2018";"C";"25056";"Besançon";9.8;4.6;;;;;5.2;;;;;;;;;;;;16513.32;5439.96;;;;;11073.36;;;;;;;;;;;;0.078043837;;;;;;;;;;;33;15877;5081;10796;;;
"2507C";"Réseau de chaleur de Mouthe";"2018";"C";"25413";"Mouthe";2;;;1;;;1;;;;;;;;;;;;7184;;;966;;;2626;;;;;;;;;;;3592;0.0000752;;;;;;;;;;;20;"secret";"secret";2874;;;
"2509C";"MAIRIE MYON";"2018";"C";"25416";"Myon";140;;;;;;140;;;;;;;;;;;;150.5;;;;;;150.5;;;;;;;;;;;;;;;;;;;;;;;5;"secret";"secret";;;;110
"2510C";"chaufferie du lycée E Faure";"2018";"C";"25411";"Morteau";5.3;2.3;;;;;3;;;;;;;;;;;;3244.55;1494.45;;;;;1750.1;;;;;;;;;;;;0.087732603;;;;;;;;;;;8;3880;;3880;;;
"2511C";"RESEAU DE CHALEUR";"2018";"C";"25462";"Pontarlier";20;10;;;;;;10;;;;;;;;;;;81814.77;6040.17;;;;;;75774.6;;;;;;;;;;;0.035981288;;;;;;;;;;;61;38238;8030;16442;5736;1912;6118
"2512C";"Réseau de chaleur de la commune de Nancray";"2018";"C";"25418";"Nancray";0.41;;;0.01;;;0.4;;;;;;;;;;;;316.3890361;;;27.6883169;;;288.7007192;;;;;;;;;;;;0.027437819;;;;;;;;;;;5;306;;306;;;
"2513C";"Villars sous Ecot";"2018";"C";"25618";"Villars-sous-Écot";0.11;;;;;;0.11;;;;;;;;;;;;96.2856;;;;;;96.2856;;;;;;;;;;;;;;;;;;;;;;;6;"secret";"secret";14;;;
"2514C";"Réseau de chaleur de Frasne";"2018";"C";"25259";"Frasne";1.6;;;1.15;;;0.45;;;;;;;;;;;;1200.12;;;119.616;;;1080.504;;;;;;;;;;;;0.03960275;;;;;;;;;;;11;"secret";"secret";908;;;
"2515C";"Réseau de Goux les Usiers";"2018";"C";"25282";"Goux-les-Usiers";0.35;;;;;;0.35;;;;;;;;;;;;301.86;;;;;;301.86;;;;;;;;;;;;;;;;;;;;;;;7;302;;302;;;
"2601C";"Réseau de Valence";"2018";"C";"26362";"Valence";47.6;47.6;;;;;;;;;;;;;;;;;53461;53461;;;;;;;;;;;;;;;;;0.256469343;21.229;21.229;;;;;;;;;84;48260;36195;12065;;;
"2602C";"Réseau de chaleur de Vassieux en Vercors";"2018";"C";"26364";"Vassieux-en-Vercors";23.078;;;22;;;1.078;;;;;;;;;;;;2786.48;;;53.4;;;2733.08;;;;;;;;;;;;0.009700599;;;;;;;;;;;40;1670;;;;;1670
"2603C";"Réseau de Pierrelatte - DES";"2018";"C";"26235";"Pierrelatte";104;71.42;;2.58;;;30;;;;;;;;;;;;162400;29639;;2225;;;130536;;;;;;;;;;;;;80.379;;;;;;100;;;;33;132703;21232;29195;;82276;
"2604C";"Réseau de Pracomptal";"2018";"C";"26198";"Montélimar";7;7;;;;;;;;;;;;;;;;;6459;6459;;;;;;;;;;;;;;;;;0.210074731;64.809;64.89;;;;;;;;;12;5754;5236;518;;;
"2605C";"Réseau de chaleur du quartier de la Monnaie";"2018";"C";"26281";"Romans-sur-Isère";11;11;;;;;;;;;;;;;;;;;8372;8372;;;;;;;;;;;;;;;;;0.216414895;57.394;57.394;;;;;;;;;11;8372;7953;419;;;
"2701C";"THERMEVRA";"2018";"C";"27229";"Évreux";75;45;;;;;10;;20;;;;;;;;;;112156.83;26119.41;;;;;7909.42;;78128;;;;;;;;;;0.046741193;16.817;72.211;;;;;;;;;100;98697;77971;20726;;;
"2702C";"LOUVIERS ENERGIE";"2018";"C";"27375";"Louviers";12.7;7.5;;;;;5.2;;;;;;;;;;;;26183.39;8285.07;;;;;17898.32;;;;;;;;;;;;0.068535611;16.029;5.657;;;;;;;;;48;23883;9792;14091;;;
"2703C";"Quartier de l'Europe";"2018";"C";"27467";"Pont-Audemer";5.2;5.2;;;;;;;;;;;;;;;;;10430.34;10430.34;;;;;;;;;;;;;;;;;0.240986502;66.498;66.498;;;;;;;;;8;"secret";"secret";5300;;;
"2704C";"Tours du Levant Clos Galots";"2018";"C";"27016";"Les Andelys";3.2;3.2;;;;;;;;;;;;;;;;;5062.3;5062.3;;;;;;;;;;;;;;;;;0.217587418;65.919;65.919;;;;;;;;;6;"secret";"secret";1512;;;
"2705C";"Zup Les Valmeux";"2018";"C";"27681";"Vernon";7;7;;;;;;;;;;;;;;;;;14112.36;14112.36;;;;;;;;;;;;;;;;;0.193891698;48.596;48.596;;;;;;;;;12;"secret";"secret";3417;;;
"2706C";"Réseau de chaleur de Conches-en-Ouche";"2018";"C";"27165";"Conches-en-Ouche";3;2;;;;;1;;;;;;;;;;;;3327.74;550.8;;;;;2776.94;;;;;;;;;;;;0.035662308;;;;;;;;;;;10;"secret";"secret";1513;;;
"2707C";"Réseau - Canappeville";"2018";"C";"27127";"Canappeville";0.22;;;;;;0.22;;;;;;;;;;;;516;;;;;;516;;;;;;;;;;;;;;;;;;;;;;;4;540;;;;;540
"2708C";"SCA Lin 2000";"2018";"C";"60286";"Grandvilliers";7;;;;;;;;;;;;;;7;;;;7000;;;;;;;;;;;;;;7000;;;;;;;;;;;;;;;37;;;;;;
"2801C";"Zup de la Madeleine";"2018";"C";"28085";"Chartres";17;17;;;;;;;;;;;;;;;;;37919;37919;;;;;;;;;;;;;;;;;0.342;;;;;;;;;;;11;"secret";"secret";;;;
"2802C";"Les Gauchetières";"2018";"C";"28280";"Nogent-le-Rotrou";4.8;4.8;;;;;;;;;;;;;;;;;5909;5909;;;;;;;;;;;;;;;;;0.206286955;75.258;75.258;;;;;;;;;39;"secret";"secret";;;;
"2803C";"DUNES";"2018";"C";"28088";"Châteaudun";13.2;9.8;;;;;3.4;;;;;;;;;;;;21023;5446;;;;;15577;;;;;;;;;;;;0.068984431;;;;;;;;;;;47;"secret";"secret";12004;;;
"2804C";"Tallemont";"2018";"C";"28229";"Mainvilliers";3.6;3.6;;;;;;;;;;;;;;;;;4312;4312;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;
"2805C";"Réseau de logements sociaux de Luce";"2018";"C";"28218";"Lucé";1.96;1.46;;;;;0.5;;;;;;;;;;;;3430.41;1492.83;;;;;1937.58;;;;;;;;;;;;0.10263613;;;;;;;;;;;5;"secret";"secret";;;;
"2806C";"Réseau de chaleur de Voves";"2018";"C";"28422";"Les Villages Vovéens";0.05;;;;;;0.05;;;;;;;;;;;;866.88;;;;;;866.88;;;;;;;;;;;;;;;;;;;;;;;5;906;;906;;;
"2901C";"ECO CHALEUR DE BREST";"2018";"C";"29019";"Brest";81;20;;20;;;12;;26;;;;;3;;;;;190826;27946;;1683;;;26096;;134209;;;;;892;;;;;0.035418521;;;;;;;;;;;185;190516;89543;100973;;;
"2902C";"Réseau de Plougastel Daoulas";"2018";"C";"29189";"Plougastel-Daoulas";3.4;2.2;;;;;1.2;;;;;;;;;;;;5622;1064;;;;;4558;;;;;;;;;;;;0.040361335;;;;;;;;;;;15;5648;791;4857;;;
"2903C";"Réseau de chaleur UVED";"2018";"C";"29020";"Briec";18.6;;;;;;;18.6;;;;;;;;;;;36617.34;;;;;;;36617.34;;;;;;;;;;;;92.792;;;;;;;92.792;;;1;"secret";"secret";;;;
"2905C";"GOUENNOU FRERES";"2018";"C";"29189";"Plougastel-Daoulas";8;;;;;;8;;;;;;;;;;;;40449;;;;;;40449;;;;;;;;;;;;;;;;;;;;;;;5;31630;;;;31630;
"3001C";"Quartier Ouest";"2018";"C";"30189";"Nîmes";91.1;80.5;;;;;;;10.6;;;;;;;;;;93287;42233;;;;;;;51054;;;;;;;;;;0.104303319;15.84;34.989;;;;;;;;;70;80234;40117;24070;;;16047
"3002C";"DALAE";"2018";"C";"30007";"Alès";20.8;6.8;;7;;;7;;;;;;;;;;;;26136;10366;;;;;15770;;;;;;;;;;;;0.095924454;36.455;91.916;;;;;;;;;41;22602;19438;3164;;;
"3003C";"Réseau bois Lamelouze";"2018";"C";"30137";"Lamelouze";1.55;;;;;;1.55;;;;;;;;;;;;70.52;;;;;;70.52;;;;;;;;;;;;;;;;;;;;;;;3;"secret";"secret";;;;
"3101C";"Réseau de Toulouse Mirail";"2018";"C";"31555";"Toulouse";106.9;12.6;;1.3;;;;;93;;;;;;;;;;195688;8832;;754;;;;;186102;;;;;;;;;;0.013615418;;;;;;;;;;;161;164376;122830;41546;;;
"3102C";"co-quartier Balma Vidailhan";"2018";"C";"31044";"Balma";3.62;2.25;;;;;1.12;;;;;;0.25;;;;;;8004;3532;;;;;4137;;;;;;;;;;;335;0.095152889;;;;;;;;;;;28;7754;7211;543;;;
"3103C";"Zac du Ritouret";"2018";"C";"31069";"Blagnac";14.645;7.081;;;;;;;;;0.588;6.976;;;;;;;18015.71;7363.71;;;;;;;;;588;10064;;;;;;;0.135802086;;;;;;;;;;;37;16444;11840;4604;;;
"3104C";"Canceropôle";"2018";"C";"31555";"Toulouse";27.09;21.09;;;;;;;6;;;;;;;;;;19432.36;3295.36;;;;;;;16137;;;;;;;;;;0.040454705;0.468;2.761;;;;;;;;;8;18545;;18545;;;
"3106C";"Réseau ""Saint Exupéry""";"2018";"C";"33398";"Saint-Exupéry";5;3.6;;0.1;;;1.3;;;;;;;;;;;;6094.39;3130.65;;81.88;;;2881.86;;;;;;;;;;;;0.125798244;;;;;;;;;;;11;5866;5690;;;;176
"3108C";"En Turet";"2018";"C";"31004";"Ayguesvives";1.45;0.89;;;;;0.56;;;;;;;;;;;;996.5;228.2;;;;;768.3;;;;;;;;;;;;0.084223812;;;;;;;;;;;42;703;422;281;;;
"3111C";"CAMUS";"2018";"C";"31113";"Castanet-Tolosan";1.9;1.5;;;;;0.4;;;;;;;;;;;;2371;1379.8;;;;;991.2;;;;;;;;;;;;0.164222291;;;;;;;;;;;21;1848;1848;;;;
"3302C";"Grand Parc";"2018";"C";"33063";"Bordeaux";30;30;;;;;;;;;;;;;;;;;19469;19469;;;;;;;;;;;;;;;;;0.199326895;65.484;65.484;;;;;;;;;26;18821;18821;;;;
"3303C";"Mériadeck";"2018";"C";"33063";"Bordeaux";2.5;;;;;;;;;;;2.5;;;;;;;5036;;;;;;;;;;;5036;;;;;;;0.003660048;;;;;;;;;;;16;5036;;5036;;;
"3304C";"Parc de Mérignac Ville Stemer";"2018";"C";"33281";"Mérignac";13;13;;;;;;;;;;;;;;;;;13534.4;13534.4;;;;;;;;;;;;;;;;;0.179250595;50.686;5.686;;;;;;;;;11;14292;13434;858;;;
"3305C";"Laseris";"2018";"C";"33029";"Le Barp";6.9;6;;;;;;;;;;0.9;;;;;;;8833;7585;;;;;;;;;;1248;;;;;;;0.218303867;;;;;;;;;;;11;7602;;;7602;;
"3306C";"Rive Droite Energies";"2018";"C";"33119";"Cenon";91;63;;;;;6;;22;;;;;;;;;;144373.5884;29587.6484;;;;;10946.94;;103839;;;;;;;;;;0.058555112;6.034;29.441;;;;;;;;;147;117217;93774;23443;;;
"3310C";"Réseau de chaleur de Gironde sur Dropt";"2018";"C";"33187";"Gironde-sur-Dropt";2.28;1.72;;;;;0.56;;;;;;;;;;;;1586.45;839.97;;;;;746.48;;;;;;;;;;;;0.220676471;;;;;;;;;;;45;867;512;78;95;;182
"3311C";"Réseau de chaleur de Pellegrue";"2018";"C";"33316";"Pellegrue";0.69;;;0.49;;;0.2;;;;;;;;;;;;669.676;;;84.016;;;585.66;;;;;;;;;;;;0.059109462;;;;;;;;;;;7;"secret";"secret";118;;;126
"3312C";"Réseau de chaleur de Saint Pierre d'Aurillac";"2018";"C";"33463";"Saint-Pierre-d'Aurillac";0.65;0.4;;;;;0.25;;;;;;;;;;;;697.62;11.34;;;;;686.28;;;;;;;;;;;;0.005603037;;;;;;;;;;;20;461;269;66;;;126
"3313C";"Réseau de La Réole";"2018";"C";"33352";"La Réole";2.49;1.2;;;;;1.29;;;;;;;;;;;;3541.36;322.38;;;;;3218.98;;;;;;;;;;;;0.0295735;;;;;;;;;;;24;"secret";"secret";2409;;;
