id_lieu,geo_point_2d,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,xlong,ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm
38200-C-001,"45.11619933764285,5.757771322839036",Les Simianes Haute-Jarrie,Rue de la bascule,Jarrie,38200,Parking,2019-07-18,true,200040715,5.757771322839036,45.11619933764285,10,0,"","",Grenoble-Alpes Métropole,false,""
38200-C-002,"45.11779,5.74806",Le Plâtre,Route du Plâtre,Jarrie,38200,Parking,2019-07-18,true,200040715,5.74806,45.11779,40,0,"","",Grenoble-Alpes Métropole,true,""
38071-C-001,"45.07932921670301,5.726160676352259",Champ-sur-Drac,Route de St-Georges-de-Commiers,Champ sur Drac,38071,Parking,2019-07-18,true,200040715,5.726160676352259,45.07932921670301,20,0,"","",Grenoble-Alpes Métropole,false,""
38071-C-002,"45.0864081615098,5.730576986220045",Pont de Champ - Navarre,Rue du Vercors,Champ sur Drac,38071,Parking,2019-07-18,true,200040715,5.730576986220045,45.0864081615098,35,0,"","",Grenoble-Alpes Métropole,false,""
38529-C-001,"45.13646385759345,5.82488338867996",La Tuilerie,Avenue d'Uriage,Vaulnaveys-le-Haut,38529,Parking,2019-07-18,true,200040715,5.82488338867996,45.13646385759345,35,2,"","",Grenoble-Alpes Métropole,true,""
38529-C-002,"45.121510439026274,5.813955408606665",Ecoles,Avenue d'Uriage,Vaulnaveys-le-Haut,38529,Parking,2019-10-15,true,200040715,5.813955408606665,45.121510439026274,30,0,"","",Grenoble-Alpes Métropole,true,""
38529-C-003,"45.11527768296836,5.807944713841076",Marchandise,Avenue d'Uriage,Vaulnaveys-le-Haut,38529,Parking,2019-07-18,true,200040715,5.807944713841076,45.11527768296836,20,0,"","",Grenoble-Alpes Métropole,true,""
38562-C-001,"45.07655675755087,5.776038040572113",Centre des Congrès La Locomotive,Route d'Uriage,Vizille,38562,Parking,2019-07-18,true,200040715,5.776038040572113,45.07655675755087,127,3,"","",Grenoble-Alpes Métropole,true,""
38562-C-002,"45.0576724286811,5.771164976976388",Vizille le péage,Route du Maquis de L'Oisans,Vizille,38562,Parking,2019-07-18,true,200040715,5.771164976976388,45.0576724286811,10,0,"","",Grenoble-Alpes Métropole,true,""
38478-C-001,"45.05335460636696,5.829558011135128",Gare,Route Nationale 91,Séchilienne,38478,Parking,2019-07-18,true,200040715,5.829558011135128,45.05335460636696,15,0,"","",Grenoble-Alpes Métropole,false,""
38436-C-001,"45.07511865002056,5.661021438597112",Le Poulat,Route du Vercors,St-Paul de Varces,38436,Parking,2019-07-18,true,200040715,5.661021438597112,45.07511865002056,20,1,"","",Grenoble-Alpes Métropole,true,""
38436-C-002,"45.07167456931503,5.642941724805576",Place de l'Eglise,Chemin Saint-Ange,St-Paul de Varces,38436,Parking,2019-07-18,true,200040715,5.642941724805576,45.07167456931503,10,2,"","",Grenoble-Alpes Métropole,true,""
38545-C-001,"45.06626758399403,5.671417062107149",Complexe sportif Vif,Chemin de Porte Coche,Vif,38545,Parking,2019-07-18,true,200040715,5.671417062107149,45.06626758399403,35,2,"","",Grenoble-Alpes Métropole,true,""
38388-C-001,"45.03827835427766,5.703972753070524",La Tour,Rue de la Chapelle,St-Georges-de-Commiers,38388,Parking,2019-07-18,true,200040715,5.703972753070524,45.03827835427766,10,0,"","",Grenoble-Alpes Métropole,true,""
