OPERATEUR;FILIERE;Année;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Type EPCI;Code Département;Nom Département;Code Région;Nom Région;CODE CATEGORIE CONSOMMATION;CODE GRAND SECTEUR;CODE SECTEUR NAF2;Nb sites;Conso totale (MWh);Conso moyenne (MWh);Nombre de mailles secretisées;Part thermosensible (%);Conso totale à usages thermosensibles (MWh);Conso totale à usages non thermosensibles (MWh);Thermosensibilité totale (kWh DJU);Conso totale corrigée de l'aléa climatique à usages thermosensibles (MWh);Conso moyenne à usages thermosensibles (MWh);Conso moyenne à usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh DJU);Conso moyenne corrigée de l'aléa climatique à usages thermosensibles (MWh);DJU à TR;DJU à TN;Nombre d'habitants;Taux de logements collectifs;Taux de résidences principales;Superficie des logements <30 m2;Superficie des logements 30 à 40 m2;Superficie des logements 40 à 60 m2;Superficie des logements 60 à 80 m2;Superficie des logements 80 à 100 m2;Superficie des logements >100 m2;Résidences principales avant 1919;Résidences principales de 1919 à 1945;Résidences principales de 1946 à 1970;Résidences principales de 1971 à 1990;Résidences principales de 1991 à 2005;Résidences principales de 2006 à 2015;Résidences principales après 2016;Taux de chauffage électrique
Enedis;Electricité;2014;38474;Sassenage;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;57;14402.57;252.676666666667;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38486;Seyssins;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;15;1373.62;91.5746666666667;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38486;Seyssins;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;3393;21121.48;6.2250162098438;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Gaz électricité de Grenoble;Electricité;2015;38185;Grenoble;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;93284;257102.0;2.75612109257751;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Groupement Elise - Régie de Séchilienne;Electricité;2015;38478;Séchilienne;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;585;3105.0;5.30769230769231;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
RTE;Electricité;2015;38200;Jarrie;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;2;110069.1;55034.55;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
RTE;Electricité;2015;38317;Le Pont-de-Claix;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;2;162782.5;81391.25;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Gaz électricité de Grenoble;Gaz;2015;38185;Grenoble;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;39379;244207.0;6.20145255085198;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRT Gaz;Gaz;2015;38200;Jarrie;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;287164.26;287164.26;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRT Gaz;Gaz;2015;38474;Sassenage;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;4556.01;4556.01;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2015;38111;Claix;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;1524;26069.0;17.1056430446194;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2015;38150;Domène;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;8;4063.0;507.875;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
